keyword,product,category
laptop,Lenovo ThinkPad X1,electronics
headphones,Sony WH-1000XM4,electronics
smartphone,iPhone 14 Pro,electronics
charger,Anker 20W USB-C,accessories
keyboard,Logitech MX Keys,accessories
shoes,Nike Air Max,fashion
jacket,North Face Puffer,fashion
shampoo,Head & Shoulders,beauty
moisturizer,CeraVe Daily,beauty
pizza,Domino's Pepperoni,food
burger,McDonald's Big Mac,food
coffee,Starbucks Latte,food
camera,Canon EOS R5,electronics
tablet,iPad Air,electronics
earbuds,Apple AirPods Pro,electronics
watch,Apple Watch Series 8,electronics
monitor,Dell UltraSharp 27,electronics
sneakers,Adidas Ultraboost,fashion
conditioner,Pantene Smooth & Sleek,beauty
ice cream,Ben & Jerry's Chocolate,food
sunglasses,Ray-Ban Wayfarer,fashion
backpack,SwissGear 1900,electronics
headphones,Bose QuietComfort 35,electronics
charger,Apple MagSafe Charger,accessories
keyboard,Razer BlackWidow,accessories
mouse,Logitech MX Master 3,accessories
tablet,Microsoft Surface Pro,electronics
monitor,LG UltraFine 5K,electronics
shoes,Adidas Stan Smith,fashion
jacket,Columbia Rain Jacket,fashion
shampoo,OGX Coconut Milk,beauty
moisturizer,Neutrogena Hydro Boost,beauty
pizza,Papa John's Extra Cheese,food
burger,Wendy's Spicy Chicken,food
coffee,Dunkin' Iced Coffee,food
camera,Nikon Z6 II,electronics
smartphone,Samsung Galaxy S21,electronics
earbuds,Samsung Galaxy Buds Pro,electronics
watch,Garmin Forerunner 245,electronics
monitor,ASUS ProArt 32,electronics
sneakers,Puma RS-X,fashion
conditioner,Herbal Essences Argan Oil,beauty
ice cream,HÃ¤agen-Dazs Vanilla,food
sunglasses,Oakley Holbrook,fashion
backpack,North Face Borealis,electronics
headphones,Apple AirPods Max,electronics
charger,Anker PowerPort III,accessories
keyboard,Logitech K380,accessories
mouse,Razer DeathAdder V2,accessories
tablet,Lenovo Tab P11,electronics
monitor,ViewSonic VP2768,electronics
shoes,Converse Chuck Taylor,fashion
jacket,Patagonia Nano Puff,fashion
shampoo,Suave Daily Clarifying,beauty
moisturizer,Clinique Moisture Surge,beauty
pizza,Little Caesars Hot-N-Ready,food
burger,In-N-Out Double-Double,food
coffee,Peet's Coffee Major Dickason's,food
camera,FujiFilm X-T4,electronics
smartphone,Google Pixel 6,electronics
earbuds,Jabra Elite 75t,electronics
watch,Fossil Gen 5,electronics
monitor,HP Z27k G3,electronics
sneakers,New Balance 990,fashion
conditioner,Redken All Soft,beauty
ice cream,Breyers Cookies & Cream,food
sunglasses,Warby Parker Percey,fashion
backpack,Osprey Farpoint 40,electronics
headphones,Beats Studio3,electronics
charger,UGREEN 65W USB-C,accessories
keyboard,Keychron K2,accessories
mouse,Logitech G502 Hero,accessories
tablet,Amazon Fire HD 10,electronics
monitor,Lenovo ThinkVision P32u,electronics
shoes,Reebok Classic,fashion
jacket,Arc'teryx Atom LT,fashion
shampoo,Paul Mitchell Tea Tree,beauty
moisturizer,La Roche-Posay Toleriane,beauty
pizza,Marco's Pepperoni,food
burger,Shake Shack ShackBurger,food
coffee,Caribou Coffee Caramel High Rise,food
camera,Olympus OM-D E-M10 Mark III,electronics
smartphone,Xiaomi Mi 11,electronics
earbuds,OnePlus Buds Pro,electronics
watch,Withings Steel HR,electronics
monitor,ASUS ROG Swift 32,electronics
sneakers,On Cloudstratus,fashion
conditioner,Matrix Biolage Hydrasource,beauty
ice cream,Haagen-Dazs Strawberry,food
sunglasses,Smith Lowdown 2,fashion
